DATE,DAYOFWEEK,SEASON,HOLIDAYPROX,HOLIDAYMETRIC,HOLIDAYNAME,MAXTEMP,MINTEMP,MEANTEMP,INSESSION,INWEIGHTED,INMAREKETS,INDRIVEWT,INCALIFORNIA,INWASHINGTONDC,INCENTRALFL,INDRIVE,INFLORIDA,INMARDIGRAS,INMIDWEST,INNYNJ,INNYNJPA,INNEWENGLAND,INJERSEY,INNORTHWEST,INSOUTHWEST
1/1/12,Sunday,CHRISTMAS PEAK,0,5,New Year's Day,77.29,54.56,65.93,10%,11%,13%,13%,28%,4%,23%,19%,23%,11%,0%,0%,0%,0%,0%,0%,0%
1/2/12,Monday,CHRISTMAS,2,5,,65.46,48.8,57.13,10%,11%,13%,13%,28%,4%,23%,19%,23%,11%,0%,0%,0%,0%,0%,0%,0%
1/3/12,Tuesday,CHRISTMAS,3,0,,48.61,37.54,43.08,65%,74%,78%,74%,57%,92%,79%,64%,70%,70%,53%,100%,100%,68%,100%,100%,86%
1/4/12,Wednesday,CHRISTMAS,4,0,,57.05,33.34,45.2,75%,83%,83%,82%,57%,93%,84%,73%,73%,94%,53%,100%,100%,100%,100%,100%,94%
1/5/12,Thursday,CHRISTMAS,5,0,,68,35.66,51.83,77%,85%,85%,85%,57%,93%,84%,80%,77%,100%,53%,100%,100%,100%,100%,100%,94%
1/6/12,Friday,CHRISTMAS,6,0,,70.78,45.39,58.09,76%,84%,85%,84%,57%,93%,84%,78%,75%,100%,53%,100%,100%,88%,100%,100%,94%
1/7/12,Saturday,CHRISTMAS,7,0,,72.39,46.29,59.34,76%,84%,85%,84%,57%,93%,84%,78%,75%,100%,53%,100%,100%,88%,100%,100%,94%
1/8/12,Sunday,CHRISTMAS,8,0,,76.33,48.73,62.53,91%,95%,97%,96%,84%,99%,100%,92%,94%,100%,93%,100%,100%,100%,100%,100%,99%
1/9/12,Monday,CHRISTMAS,8,0,,76,52.67,64.34,91%,95%,97%,96%,84%,99%,100%,92%,94%,100%,93%,100%,100%,100%,100%,100%,99%
1/10/12,Tuesday,WINTER,7,0,,77.45,53.41,65.43,92%,97%,99%,98%,84%,99%,100%,99%,98%,100%,93%,100%,100%,100%,100%,100%,99%
1/11/12,Wednesday,WINTER,6,0,,71.06,58.6,64.83,92%,97%,99%,98%,84%,99%,100%,99%,98%,100%,93%,100%,100%,100%,100%,100%,99%
1/12/12,Thursday,MARTIN LUTHER KING JUNIOR DAY,5,0,,76.7,53.72,65.21,92%,97%,99%,98%,84%,99%,100%,99%,98%,100%,93%,100%,100%,100%,100%,100%,99%
1/13/12,Friday,MARTIN LUTHER KING JUNIOR DAY,4,0,,63.63,48.44,56.04,89%,93%,96%,94%,84%,99%,92%,96%,98%,87%,93%,100%,100%,100%,100%,100%,91%
1/14/12,Saturday,MARTIN LUTHER KING JUNIOR DAY,3,2,,55.74,41.78,48.76,89%,93%,96%,94%,84%,99%,92%,96%,98%,87%,93%,100%,100%,100%,100%,100%,91%
1/15/12,Sunday,MARTIN LUTHER KING JUNIOR DAY,2,2,,67.09,35.95,51.52,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1/16/12,Monday,MARTIN LUTHER KING JUNIOR DAY,0,0,"Birthday of Martin Luther King, Jr.",70.94,44.13,57.54,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1/17/12,Tuesday,MARTIN LUTHER KING JUNIOR DAY,2,2,,75.41,49.48,62.44,91%,92%,90%,91%,89%,98%,77%,91%,87%,100%,100%,100%,100%,100%,100%,100%,99%
1/18/12,Wednesday,MARTIN LUTHER KING JUNIOR DAY,3,2,,75.78,53.14,64.46,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/19/12,Thursday,MARTIN LUTHER KING JUNIOR DAY,4,2,,71.11,49.44,60.28,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/20/12,Friday,MARTIN LUTHER KING JUNIOR DAY,5,0,,75.65,44.62,60.14,86%,90%,66%,82%,89%,85%,68%,75%,65%,100%,93%,100%,100%,84%,100%,100%,95%
1/21/12,Saturday,WINTER,6,0,,75.8,52.25,64.03,86%,90%,66%,82%,89%,85%,68%,75%,65%,100%,93%,100%,100%,84%,100%,100%,95%
1/22/12,Sunday,WINTER,7,0,,78.79,50.05,64.42,85%,88%,91%,89%,79%,57%,90%,95%,93%,96%,91%,100%,100%,100%,100%,100%,99%
1/23/12,Monday,WINTER,8,0,,80.56,54.96,67.76,85%,88%,91%,89%,79%,57%,90%,95%,93%,96%,91%,100%,100%,100%,100%,100%,99%
1/24/12,Tuesday,WINTER,9,0,,81.74,59.29,70.52,94%,97%,99%,98%,83%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/25/12,Wednesday,WINTER,10,0,,81.35,58.89,70.12,94%,98%,99%,98%,89%,99%,100%,99%,98%,100%,100%,97%,97%,100%,0%,100%,99%
1/26/12,Thursday,WINTER,11,0,,82.14,60.27,71.21,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/27/12,Friday,WINTER,10,0,,71.4,59.35,65.38,90%,86%,85%,86%,89%,99%,94%,83%,76%,89%,62%,93%,94%,100%,100%,100%,53%
1/28/12,Saturday,WINTER,9,0,,71.09,49.98,60.54,90%,86%,85%,86%,89%,99%,94%,83%,76%,89%,62%,93%,94%,100%,100%,100%,53%
1/29/12,Sunday,WINTER,8,0,,72.93,52.43,62.68,93%,93%,98%,95%,89%,81%,100%,99%,98%,100%,100%,70%,74%,100%,100%,100%,99%
1/30/12,Monday,WINTER,7,0,,72.33,49.34,60.84,93%,93%,98%,95%,89%,81%,100%,99%,98%,100%,100%,70%,74%,100%,100%,100%,99%
1/31/12,Tuesday,WINTER,6,0,,74.89,51.64,63.27,94%,97%,99%,97%,89%,85%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/1/12,Wednesday,WINTER,5,0,,78.78,54.31,66.55,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/2/12,Thursday,WINTER,4,0,,80.88,57.91,69.4,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
